DATE_SCRUTIN;NOM_CIRCONSCRIPTION;CODE_CIRCONSCRIPTION;NB_ELECTEURS_DECRET_AV_REV;NB_INSCRIPT_AP_REV_ORD;NB_RADIATION_AP_REV_ORD;NB_CORRECTIONS_AP_REV_ORD;NB_ELECTEURS_AP_REV_ORD;NB_INSCRIPT_AP_REV_SPE;NB_RADIATION_AP_REV_SPE;NB_CORRECTIONS_AP_REV_SPE;NB_ELECTEURS_AP_REV_SPE
2022-10-03;Rousseau;576;46314;100;107;8;46307;131;126;6;46312
2022-10-03;Rouyn-Noranda-Témiscamingue;636;44624;181;145;7;44660;233;176;8;44717
2022-10-03;Saint-François;110;59165;331;323;20;59173;460;245;10;59388
2022-10-03;Saint-Henri-Sainte-Anne;326;56124;619;342;13;56401;420;206;11;56615
2022-10-03;Saint-Hyacinthe;260;59661;196;304;29;59553;268;216;20;59605
2022-10-03;Saint-Jean;212;62446;222;161;17;62507;299;264;9;62542
2022-10-03;Saint-Jérôme;526;63642;221;150;13;63713;402;241;10;63874
2022-10-03;Saint-Laurent;318;56651;268;148;16;56771;242;117;19;56896
2022-10-03;Sainte-Marie-Saint-Jacques;330;40492;508;350;12;40650;499;271;5;40878
2022-10-03;Sainte-Rose;470;54653;221;120;28;54754;237;106;4;54885
2022-10-03;Sanguinet;230;43354;141;157;26;43338;221;85;8;43474
2022-10-03;Sherbrooke;116;52633;499;505;17;52627;612;279;27;52960
2022-10-03;Soulanges;220;60285;172;191;20;60266;189;132;5;60323
2022-10-03;Taillon;250;52601;238;236;18;52603;280;158;8;52725
2022-10-03;Taschereau;730;47479;674;592;22;47561;552;297;13;47816
2022-10-03;Terrebonne;542;60059;177;207;9;60029;284;152;8;60161
2022-10-03;Trois-Rivières;660;54530;239;187;21;54582;347;242;14;54687
2022-10-03;Ungava;938;29451;50;56;6;29445;101;80;8;29466
2022-10-03;Vachon;240;52520;311;193;27;52638;224;109;19;52753
2022-10-03;Vanier-Les Rivières;726;60339;310;442;24;60207;389;235;8;60361
2022-10-03;Vaudreuil;224;61396;250;229;63;61417;336;148;27;61605
2022-10-03;Verchères;256;62036;189;230;20;61995;228;165;18;62058
2022-10-03;Verdun;300;48164;475;270;25;48369;448;234;18;48583
2022-10-03;Viau;358;39624;273;136;17;39761;221;125;9;39857
2022-10-03;Vimont;476;46106;120;145;14;46081;184;98;14;46167
2022-10-03;Westmount-Saint-Louis;332;46378;561;304;17;46635;374;195;11;46814
