DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,CD_REG_ADM,NOM_MRC,NOM_REG_ADM,NOM_CEP,LANG_ENS
,748720,"Collège April-Fortier, ens. en anglais","Collège April-Fortier, enseignement en anglais","1001, rue Sherbrooke Est, bureau 350",,66023,Montréal,V,H2L1N3,Installation collège privé,Privé,http://www.april-fortier.com,-73.566455,45.520519,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,anglais
,748738,Institut Trebas Québec inc.,Institut Trebas Québec inc. (secteur anglophone),"550, rue Sherbrooke Ouest, 6e étage",,66023,Montréal,V,H3A1B9,Installation collège privé,Privé,http://www.trebas.com,-73.572533,45.505908,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais
,748937,École nationale de cirque,"École nationale de cirque, secteur anglophone","8181, avenue du Cirque",,66023,Montréal,V,H1Z4N9,Installation collège privé,Privé,http://www.enc.qc.ca/,-73.613646,45.561794,Collégial,2_Privé,06,Montréal,Montréal,Viau,anglais
,749547,Collège André-Grasset (1973) inc.,Collège André-Grasset (1973) inc.,"1001, boulevard Crémazie Est",,66023,Montréal,V,H2M1M3,Collège privé,Privé,http://www.grasset.qc.ca,-73.633141,45.551208,Collégial,2_Privé,06,Montréal,Montréal,Maurice-Richard,français
,749548,Collège LaSalle,Collège LaSalle,"2000, rue Sainte-Catherine Ouest",Bureau 2000,66023,Montréal,V,H3H2T2,Collège privé,Privé,http://www.collegelasalle.com,-73.581805,45.491442,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749550,André-Grasset (secteur anglophone),Collège André-Grasset (secteur anglophone),"1001, boulvevard Crémazie Est",,66023,Montréal,V,H2M1M3,Installation collège privé,Privé,,-73.633141,45.551208,Collégial,2_Privé,06,Montréal,Montréal,Maurice-Richard,anglais
,749556,Collège Jean-de-Brébeuf,Collège Jean-de-Brébeuf,"3200, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H3T1C1,Collège privé,Privé,http://www.brebeuf.qc.ca,-73.622805,45.501611,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français
,749557,Collège international Marie de France,Collège international Marie de France,"4635, chemin Queen-Mary",,66023,Montréal,V,H3W1W3,Collège privé,Privé,http://www.cimf.ca,-73.625122,45.490252,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français
,749561,Collège O'Sullivan de Montréal inc.,Collège O'Sullivan de Montréal inc.,"1191, rue de la Montagne",,66023,Montréal,V,H3G1Z2,Collège privé,Privé,http://www.osullivan.edu,-73.573406,45.497406,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749648,Collège LaSalle,Collège LaSalle,"1595, boulevard Daniel-Johnson",,65005,Laval,V,H7V4C2,Installation collège privé,Privé,http://www.collegelasalle.com/,-73.743126,45.557666,Collégial,2_Privé,13,Laval,Laval,Chomedey,français
,749649,Collège LaSalle,Collège LaSalle (secteur anglophone),"1595, boulevard Daniel-Johnson",,65005,Laval,V,H7V4C2,Installation collège privé,Privé,http://www.collegelasalle.com/,-73.743126,45.557666,Collégial,2_Privé,13,Laval,Laval,Chomedey,anglais
,749672,École nationale de théâtre du Canada,École nationale de théâtre du Canada,"5030, rue Saint-Denis",,66023,Montréal,V,H2J2L8,Collège privé,Privé,http://www.ent-nts.ca,-73.589031,45.526235,Collégial,2_Privé,06,Montréal,Montréal,Mercier,français
,749673,École nationale de théâtre du Canada,École nationale de théâtre du Canada,"1182, boulevard Saint-Laurent",,66023,Montréal,V,H2X2S5,Installation collège privé,Privé,http://www.ent-nts.ca,-73.562448,45.508922,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749674,École nationale de théâtre du Canada,École nationale de théâtre du Canada,"360, avenue Laurier Est",,66023,Montréal,V,H2T3B6,Installation collège privé,Privé,http://www.ent-nts.ca,-73.58962,45.526379,Collégial,2_Privé,06,Montréal,Montréal,Mercier,français
,749712,Collège Marianopolis,Collège Marianopolis,"4873, avenue Westmount",,66032,Westmount,V,H3Y1X9,Collège privé,Privé,http://www.marianopolis.edu,-73.612297,45.481213,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais
,749720,Collège April-Fortier inc.,Collège April-Fortier inc.,"1001, rue Sherbrooke Est, bureau 350",,66023,Montréal,V,H2L1N3,Collège privé,Privé,http://www.april-fortier.com,-73.566455,45.520519,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,français
,749721,Collège April-Fortier inc.,Collège April-Fortier inc. Longueuil,"4660, montée Saint-Hubert, local 104",,58227,Longueuil,V,J3Y1V1,Installation collège privé,Privé,,-73.438416,45.486093,Collégial,2_Privé,16,Longueuil,Montérégie,Vachon,français
,749738,Institut Trebas Québec inc.,Institut Trebas Québec inc.,"550, rue Sherbrooke Ouest, 6e étage",,66023,Montréal,V,H3A1B9,Collège privé,Privé,http://www.trebas.com,-73.572533,45.505908,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749747,Collège CDI - Montréal,Collège CDI Administration . Technologie . Santé,"1259, rue Berri, 3e étage",,66023,Montréal,V,H2L4C7,Collège privé,Privé,http://www.collegecdi.ca,-73.55864,45.514458,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,français
,749751,École de danse contemporaine de Montréal,École de danse contemporaine de Montréal,"1435, rue De Bleury, 6e étage",,66023,Montréal,V,H3A2H7,Collège privé,Privé,www.edcm.ca,-73.567519,45.506903,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749756,Collège Herzing,Collège Herzing (secteur francophone),"8370, boulevard Lacordaire",,66023,Montréal,V,H1R3Y6,Installation collège privé,Privé,www.herzing.ca,-73.597089,45.585554,Collégial,2_Privé,06,Montréal,Montréal,Jeanne-Mance-Viger,français
,749757,Collège Herzing,Collège Herzing (secteur anglophone),"8370, boulevard Lacordaire",,66023,Montréal,V,H1R3Y6,Installation collège privé,Privé,www.herzing.ca,-73.597089,45.585554,Collégial,2_Privé,06,Montréal,Montréal,Jeanne-Mance-Viger,anglais
,749758,Collège Herzing,Collège Herzing,"1616, boul. René-Lévesque Ouest",,66023,Montréal,V,H3H1P8,Collège privé,Privé,www.herzing.ca,-73.575236,45.493246,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749759,Collège Herzing,Collège Herzing (secteur anglophone),"1616, boulevard René-Lévesque Ouest",,66023,Montréal,V,H3H1P8,Installation collège privé,Privé,www.herzing.ca,-73.575236,45.493246,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais
,749795,Les Écoles Créatives,Les Écoles Créatives,"3536, boulevard Saint-Laurent",,66023,Montréal,V,H2X2V1,Collège privé,Privé,http://www.collegesalette.com,-73.57134,45.51293,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749796,Les Écoles Créatives,Les Écoles Créatives (secteur anglophone),"3536, boulevard Saint-Laurent",,66023,Montréal,V,H2X2V1,Installation collège privé,Privé,https://collegesalette.com/,-73.571334,45.512933,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais
,749841,Collège Unica,Collège Unica,"4060, rue Sainte-Catherine Ouest",2e étage,66032,Westmount,V,H3Z2Z3,Collège privé,Privé,https://www.musitechnic.com,-73.586059,45.487643,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français
,749937,École nationale de cirque,École nationale de cirque,"8181, avenue du Cirque",,66023,Montréal,V,H1Z4N9,Collège privé,Privé,www.ecolenationaledecirque.ca,-73.613646,45.561794,Collégial,2_Privé,06,Montréal,Montréal,Viau,français
,749990,"Centre de recherche, d'innovation en Art","Centre de recherche, d'innovation et de transfert en Arts du cirque","8181, 2e avenue",,66023,Montréal,V,H1Z4N9,Centre collégial de transfert de technologie,Privé,http://ecolenationaledecirque.ca/fr/lecole/critac,-73.613644,45.561787,Collégial,2_Privé,06,Montréal,Montréal,Viau,
,749995,École nationale de l'humour,École nationale de l'humour,"2120, rue Sherbrooke Est, 7e étage",,66023,Montréal,V,H2K1C3,Collège privé,Privé,https://www.enh.qc.ca,-73.562555,45.530986,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,français
,900000,Cégep de la Gaspésie et des Îles,Cégep de la Gaspésie et des Îles,"96, rue Jacques-Cartier",,03005,Gaspé,V,G4X2S8,Cégep,Public,http://www.cegepgim.ca/,-64.484948,48.834178,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,français
,900001,Pavillon Gaspésie (section angl.),Gaspésie Pavillon (section anglophone),"96, rue Jacques-Cartier",,03005,Gaspé,V,G4X2S8,Centre d'enseignement,Public,http://www.cegepgim.ca/,-64.484948,48.834178,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,anglais
,900004,Centre collégial Carleton-sur-mer,Centre d'études collégiales Carleton-sur-mer,"776, boul. Perron",Case postale 1000,06013,Carleton-sur-Mer,V,G0C1J0,Centre d'enseignement,Public,http://www.cegepgim.ca/carleton,-66.106665,48.102258,Collégial,1_Public,11,Avignon,Gaspésie–Îles-de-la-Madeleine,Bonaventure,français
,900005,École des pêches et de l'aquaculture,École des pêches et de l'aquaculture du Québec,"167, La Grande Allée Est",C.P. 220,02015,Grande-Rivière,V,G0C1V0,Centre d'enseignement,Public,http://www.cegepgim.ca/,-64.489245,48.395821,Collégial,1_Public,11,Le Rocher-Percé,Gaspésie–Îles-de-la-Madeleine,Gaspé,français
,900006,Centre études coll. Iles-Madeleine,Centre d'études collégiales des Îles-de-la-Madeleine,"15, chemin de la Piscine",Case postale 238,01023,Les Îles-de-la-Madeleine,M,G4T3X4,Centre d'enseignement,Public,http://www.cegepgim.ca/iles,-61.91541,47.372043,Collégial,1_Public,11,Communauté maritime des Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,Îles-de-la-Madeleine,français
,900007,Campus de Montréal / Montreal Campus,Campus de Montréal / Montreal Campus,"577, boul Henri-Bourassa Est",,66023,Montréal,V,H2C1E2,Centre d'enseignement,Public,http://www.cegepgim.ca,-73.66865,45.55575,Collégial,1_Public,06,Montréal,Montréal,Maurice-Richard,anglais
,900091,Merinov (CCTT des pêches),Merinov (CCTT des pêches),"96, montée de Sandy-Beach, bureau 2.05",,03005,Gaspé,V,G4X2V6,Centre collégial de transfert de technologie,Public,www.merinov.ca,-64.469002,48.822614,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,
,900092,NERGICA,NERGICA,"70, rue Bolduc",,03005,Gaspé,V,G4X1G2,Centre collégial de transfert de technologie,Public,www.nergica.com,-64.48659,48.834075,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,français
,900093,Cen. initia. recher. aide dévelop. dura.,Centre d'initiation à la recherche et d'aide au développement durable (CIRADD),"776, boulevard Perron",Campus de Carleton-sur-Mer,06013,Carleton-sur-Mer,V,G0C1J0,Centre collégial de transfert de technologie,Public,www.ciradd.ca,-66.106665,48.102258,Collégial,1_Public,11,Avignon,Gaspésie–Îles-de-la-Madeleine,Bonaventure,français
,901000,Cégep de Rimouski,Cégep de Rimouski,"60, rue de l'Évêché Ouest",,10043,Rimouski,V,G5L4H6,Cégep,Public,http://www.cegep-rimouski.qc.ca/,-68.527809,48.448244,Collégial,1_Public,01,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,français
,901001,Institut maritime du Québec,Institut maritime du Québec,"53, rue Saint-Germain Ouest",,10043,Rimouski,V,G5L4B4,Établissement d'enseignement,Public,http://www.imq.qc.ca/,-68.52951,48.449752,Collégial,1_Public,01,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,français
,901002,Centre matapédien études collégiales,Centre matapédien d'études collégiales (Cégep de Rimouski),"92, rue Desbiens",,07047,Amqui,V,G5J3P6,Centre d'enseignement,Public,http://www.centre-matapedien.qc.ca/,-67.428984,48.467585,Collégial,1_Public,01,La Matapédia,Bas-Saint-Laurent,Matane-Matapédia,français
,901090,SEREX,SEREX,"25, rue Armand-Sinclair",Porte 5,07047,Amqui,V,G5J1K3,Centre collégial de transfert de technologie,Public,www.serex.ca,-67.436433,48.470431,Collégial,1_Public,01,La Matapédia,Bas-Saint-Laurent,Matane-Matapédia,français
,901091,Innovation maritime,Innovation maritime,"53, rue Saint-Germain Ouest",,10043,Rimouski,V,G5L4B4,Centre collégial de transfert de technologie,Public,http://www.innovationmaritime.ca,-68.52951,48.449752,Collégial,1_Public,01,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,français
