DT_MAJ_GDUNO,COMBINE_NUO_NUI,CD_ORGNS,NOM_COURT_ORGNS,NOM_OFFCL_ORGNS,ADRS_GEO_L1_GDUNO_ORGNS,ADRS_GEO_L2_GDUNO_ORGNS,CD_POSTL_GDUNO_ORGNS,CD_MUNCP_GDUNO_ORGNS,NOM_MUNCP_GDUNO_ORGNS,CD_IMM,NOM_IMM,ADRS_GEO_L1_GDUNO_IMM,ADRS_GEO_L2_GDUNO_IMM,CD_MUNCP_GDUNO_IMM,NOM_MUNCP_GDUNO_IMM,CD_POSTL_GDUNO_IMM,PRESC,PRIM,SEC,FORM_PRO,ADULTE,SITE_WEB_ORGNS,COORD_X_LL84_IMM,COORD_Y_LL84_IMM,ORDRE_ENS,CD_CS,TYPE_CS,STYLE_CART,NOM_MUNCP,NOM_MRC,NOM_REG_ADM,NOM_CEP,NOM_CS
,104151336,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742064,Primadel / alternative de Mékinac,"511, rue Principale",,35015,Saint-Adelphe,G0X2G0,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.430494,46.733992,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Saint-Adelphe,Mékinac,Mauricie,Champlain,Centre de services scolaire de l'Énergie
,104151337,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742065,Plein Soleil,"470, rue Goulet",,35035,Hérouxville,G0X1J0,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.615289,46.677288,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Hérouxville,Mékinac,Mauricie,Champlain,Centre de services scolaire de l'Énergie
,104151339,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742067,La Providence,"460, rue du Couvent",,35027,Saint-Tite,G0X3H0,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.561856,46.726975,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Saint-Tite,Mékinac,Mauricie,Champlain,Centre de services scolaire de l'Énergie
,104151340,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742068,La Croisière,"40, boulevard Saint-Louis",,35020,Saint-Séverin,G0X2B0,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.506452,46.670112,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Saint-Séverin,Mékinac,Mauricie,Champlain,Centre de services scolaire de l'Énergie
,104151344,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742073,Masson,"440, rue Saint-Jacques",,35050,Sainte-Thècle,G0X3G0,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.503745,46.816217,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Sainte-Thècle,Mékinac,Mauricie,Champlain,Centre de services scolaire de l'Énergie
,104151346,742451,CFP Carrefour Form. Mauricie,Carrefour Formation Mauricie formation professionnelle,"5105, avenue Albert-Tessier",,G9N7A3,36033,Shawinigan,742076,Saint-Charles-Garnier,"2265, avenue Laflèche",,36033,Shawinigan,G9N6H3,0,0,0,1,0,http://www.csenergie.qc.ca/cfm/,-72.761958,46.570513,Formation professionnelle,742000,Franco,8_OrgImm_Franco_Fp,Shawinigan,Shawinigan,Mauricie,Laviolette-Saint-Maurice,Centre de services scolaire de l'Énergie
,110021733,752029,École Sainte-Anne,École Sainte-Anne,"851, rue de l'Ontario",,J1J3R9,43027,Sherbrooke,752142,Sainte-Anne,"851, rue Ontario",,43027,Sherbrooke,J1J3R9,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.909232,45.411168,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Sherbrooke,Sherbrooke,Estrie,Sherbrooke,Centre de services scolaire de la Région-de-Sherbrooke
,110031737,752031,École des Avenues,École des Avenues (bâtisse Sainte-Famille),"233, 8e Avenue Nord",,J1E2S6,43027,Sherbrooke,752146,Des Avenues - Pavillon Sainte-Famille,"233, 8e Avenue Nord",,43027,Sherbrooke,J1E2S6,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.875113,45.411294,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Sherbrooke,Sherbrooke,Estrie,Saint-François,Centre de services scolaire de la Région-de-Sherbrooke
,110031739,752031,École des Avenues,École des Avenues (bâtisse Sainte-Famille),"233, 8e Avenue Nord",,J1E2S6,43027,Sherbrooke,752151,Laporte,"655, rue Papineau",,43027,Sherbrooke,J1E1Y6,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.874474,45.41132,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Sherbrooke,Sherbrooke,Estrie,Saint-François,Centre de services scolaire de la Région-de-Sherbrooke
,110041729,752033,École Sylvestre,École Sylvestre,"1020, rue Kingston",,J1H3S1,43027,Sherbrooke,752138,Sylvestre,"1020, rue Kingston",,43027,Sherbrooke,J1H3S1,1,1,0,0,0,http://www.csrs.qc.ca/etablissements,-71.9012,45.390626,Préscolaire - Primaire,752000,Franco,4_OrgImm_Franco_presc_prim,Sherbrooke,Sherbrooke,Estrie,Sherbrooke,Centre de services scolaire de la Région-de-Sherbrooke
