DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84
,166500,Coll. Ville-Marie,Collège Ville-Marie,"2850, rue Sherbrooke Est ",,66023,Montréal,V,H2K1H3,Établissement d'enseignement privé,Privé,www.cvmarie.qc.ca,-73.558806,45.539631
,167500,Succès Scolaire,Succès Scolaire,"6750, rue Hutchison, bureau 201",,66023,Montréal,V,H3N1Y4,Établissement d'enseignement privé,Privé,https://ecole.successcolaire.ca,-73.617457,45.527984
,168500,École Akiva,École Akiva,"450, avenue Kensington",,66032,Westmount,V,H3Y3A2,Établissement d'enseignement privé,Privé,www.akivaschool.com,-73.598071,45.485155
,169500,Alexander von Humb Éc. int. all.,Alexander von Humboldt École internationale allemande inc.,"216, place Victoria ",,66112,Baie-D'Urfé,V,H9X2H9,Établissement d'enseignement privé,Privé,www.avhmontreal.ca,-73.908621,45.41654
,179500,École Anglissimo,École Anglissimo,"2796, rue Prospect",,43027,Sherbrooke,V,J1L3A9,Établissement d'enseignement privé,Privé,www.ecoleanglissimo.com,-71.942719,45.410457
,184500,ÉcolACTion,ÉcolACTion,"681, rue Chabanel",,94068,Saguenay,V,G7H1Z7,Établissement d'enseignement privé,Privé,www.ecolaction.com,-71.052074,48.417649
,185500,École Alex Manoogian,École Alex Manoogian,"755, rue Manoogian",,66023,Montréal,V,H4N1Z5,Établissement d'enseignement privé,Privé,www.alexmanoogian.qc.ca,-73.667482,45.517839
,186500,École au Jardin Bleu,École au Jardin Bleu,"1690, rue Sauvé Est ",,66023,Montréal,V,H2C2A8,Établissement d'enseignement privé,Privé,www.ecoleaujardinbleu.com,-73.648653,45.563148
,187500,École Augustin Roscelli,École Augustin Roscelli,"11960, boulevard de l'Acadie",,66023,Montréal,V,H3M2T7,Établissement d'enseignement privé,Privé,http://www.ecoleaugustinroscelli.com,-73.695283,45.540266
,188500,École Bais Yaakov D'Rav Hirschprung,École Bais Yaakov D'Rav Hirschprung,"1750, avenue Glendale",,66023,Montréal,V,H2V1B3,Établissement d'enseignement privé,Privé,,-73.623648,45.517322
,189500,École bilingue Notre-Dame de Sion,École bilingue Notre-Dame de Sion,"1775, rue Décarie",,66023,Montréal,V,H4L3N5,Établissement d'enseignement privé,Privé,ebnds.com,-73.692637,45.521041
,196500,École Charles-Perrault (Pierrefonds),École Charles-Perrault (Pierrefonds),"106, rue Cartier",,66023,Montréal,V,H8Y1G8,Établissement d'enseignement privé,Privé,www.ecolecharles-perrault.ca,-73.814567,45.503384
,197500,École Charles Perrault (Laval),École Charles Perrault (Laval),"1750, boulevard de la Concorde Est",,65005,Laval,V,H7G2E7,Établissement d'enseignement privé,Privé,ww.ecolecharlesperrault.com,-73.678766,45.579683
,198500,École chrétienne Emmanuel,École chrétienne Emmanuel,"4698, boulevard Saint-Jean",,66142,Dollard-des-Ormeaux,V,H9H4S5,Établissement d'enseignement privé,Privé,www.emmanuelcs.ca,-73.849777,45.486833
,215500,Collège Supérieur de Sherbrooke,Collège Supérieur de Sherbrooke,"108-110, rue Wellington Nord",,43027,Sherbrooke,V,J1H5B8,Établissement d'enseignement privé,Privé,www.collegecss.ca,-71.891086,45.403234
,216500,École de technologie gazière,École de technologie gazière,"1350, rue Nobel, bureau 200",,58033,Boucherville,V,J4B5H3,Établissement d'enseignement privé,Privé,www.energir.com/etg,-73.426887,45.567135
,218500,L'Éc. routier prof. du Québec,L'École du Routier Professionnel du Québec (1996) Inc.,"12305, boulevard Métropolitain Est",,66023,Montréal,V,H1B5R3,Établissement d'enseignement privé,Privé,www.techni-data.com,-73.526983,45.652486
,278500,Éc. Peter Hall,École Peter Hall inc.,"840, boulevard de la Côte-Vertu",,66023,Montréal,V,H4L1Y4,Établissement d'enseignement privé,Privé,www.peterhall.qc.ca,-73.673889,45.518624
,279500,"École Plein Soleil, Coop. de solidarité","École Plein Soleil, Coopérative de solidarité","355, rue du Chardonnay",,43027,Sherbrooke,V,J1L0J3,Établissement d'enseignement privé,Privé,www.pleinsoleil.qc.ca,-71.94861,45.420034
,288500,École première Mesifta du Canada,École première Mesifta du Canada,"2355, avenue Ekers",,66072,Mont-Royal,V,H3S1C6,Établissement d'enseignement privé,Privé,,-73.628991,45.514823
,304500,École Les Trois Saisons,École Les Trois Saisons,"570, boulevard de Mortagne",,58033,Boucherville,V,J4B5E4,Établissement d'enseignement privé,Privé,www.ecoletroissaisons.com,-73.432659,45.593692
,219500,École Miss Edgar et Miss Cramp,École Miss Edgar et Miss Cramp,"525, avenue Mount Pleasant",,66032,Westmount,V,H3Y3H6,Établissement d'enseignement privé,Privé,www.ecs.qc.ca,-73.59676,45.491216
,226500,Éc. Jésus-Marie Beauceville,École Jésus-Marie de Beauceville,"670, 9e avenue ",,27028,Beauceville,V,G5X3P6,Établissement d'enseignement privé,Privé,www.ejm.qc.ca,-70.764944,46.203528
,227500,École Le Sommet,École Le Sommet,"1750, rue Deguire ",,66023,Montréal,V,H4L1M7,Établissement d'enseignement privé,Privé,www.summit-school.com,-73.693336,45.515974
,228500,École Les Mélèzes,École Les Mélèzes,"393, rue De Lanaudière",,61025,Joliette,V,J6E3L9,Établissement d'enseignement privé,Privé,www.lesmelezes.ca,-73.436092,46.022626
,229500,École Maïmonide,École Maïmonide,"1900, rue Bourdon",,66023,Montréal,V,H4M2X7,Établissement d'enseignement privé,Privé,www.ecolemaimonide.org,-73.673654,45.500483
,237500,Éc. Marcelle-Mallet,École Marcelle-Mallet,"51, rue Déziel",,25213,Lévis,V,G6V3T7,Établissement d'enseignement privé,Privé,www.emm.qc.ca,-71.185257,46.810132
,238500,École Marie Gibeau,École Marie Gibeau,"1331, rue Sainte-Hélène",,58227,Longueuil,V,J4K3S4,Établissement d'enseignement privé,Privé,www.ecolemariegibeau.com,-73.497933,45.517821
,239500,École Marie-Anne,École Marie-Anne,"4567, rue du Mont-Pontbriand ",,62037,Rawdon,M,J0K1S0,Établissement d'enseignement privé,Privé,www.ecolemarieanne.org,-73.739535,46.059171
,244500,École Marie-Clarac,École Marie-Clarac,"11273, avenue de Mère-Anselme",,66023,Montréal,V,H1H4Z2,Établissement d'enseignement privé,Privé,www.ecolemarie-clarac.qc.ca,-73.648541,45.589962
,249500,École Montessori de l'Outaouais,École Montessori de l'Outaouais,"161, rue Principale",,81017,Gatineau,V,J9H7H4,Établissement d'enseignement privé,Privé,www.montessori-outaouais.qc.ca,-75.839754,45.396268
,253500,École Montessori de la Mauricie,École Montessori de la Mauricie,"6400, rue Marion",,37067,Trois-Rivières,V,G9A6H3,Établissement d'enseignement privé,Privé,,-72.578978,46.320023
,254500,École Montessori de Québec,École Montessori de Québec,"1265, avenue du Buisson",,23027,Québec,V,G1T2C4,Établissement d'enseignement privé,Privé,montessori-qc.com,-71.257487,46.779638
,259500,École Montessori Ville-Marie,École Montessori Ville-Marie,"760, rue Saint-Germain",,66023,Montréal,V,H4L3R5,Établissement d'enseignement privé,Privé,www.ecolemontessorivillemarie.com,-73.676618,45.511912
,266500,École Notre Dame de Nareg,École Notre Dame de Nareg,"500, 67e Avenue",,65005,Laval,V,H7V2N2,Établissement d'enseignement privé,Privé,,-73.732803,45.542211
,268500,Éc. orale de Mtl pour sourds,"École orale de Montréal pour les sourds, inc.","4670, rue Sainte-Catherine Ouest",,66032,Westmount,V,H3Z1S5,Établissement d'enseignement privé,Privé,www.montrealoralschool.com,-73.595805,45.478601
,269500,Collège Pasteur,Collège Pasteur,"12345, avenue de la Miséricorde",,66023,Montréal,V,H4J2E8,Établissement d'enseignement privé,Privé,www.collegepasteur.ca,-73.718425,45.53433
,350500,Externat Sacré-Coeur,Externat Sacré-Coeur,"535, rue Lefrançois ",,73020,Rosemère,V,J7A4R5,Établissement d'enseignement privé,Privé,externat.qc.ca,-73.790121,45.654469
,351500,Externat St-Jean-Berchmans,Externat St-Jean-Berchmans,"2303, chemin Saint-Louis",,23027,Québec,V,G1T1R5,Établissement d'enseignement privé,Privé,www.externatsjb.com,-71.259299,46.770638
,352500,Saint-Jean-Eudes,Saint-Jean-Eudes,"650, avenue du Bourg-Royal",,23027,Québec,V,G2L1M8,Établissement d'enseignement privé,Privé,www.saint-jean-eudes.com,-71.24345,46.876965
,364500,Académie adventiste Greaves,Académie adventiste Greaves,"2330, avenue West Hill",,66023,Montréal,V,H4B2S4,Établissement d'enseignement privé,Privé,www.greavesadventistacademy.com,-73.623178,45.463916
,365500,Institut d'enseignement de Sept-Îles,Institut d'enseignement de Sept-Îles,"737, avenue Gamache",,97007,Sept-Îles,V,G4R2J8,Établissement d'enseignement privé,Privé,http://www.iesi.in,-66.390348,50.217539
,367500,Collège Reine-Marie,Collège Reine-Marie,"9300, boulevard Saint-Michel",,66023,Montréal,V,H1Z3H1,Établissement d'enseignement privé,Privé,www.reine-marie.qc.ca,-73.632718,45.572669
,368500,Institut Saint-Joseph,Institut Saint-Joseph,"900, avenue Joffre",,23027,Québec,V,G1S4Z3,Établissement d'enseignement privé,Privé,www.st-joseph.qc.ca,-71.245111,46.795778
,374500,Institut secondaire Keranna,Institut secondaire Keranna,"6205, boulevard des Chenaux",,37067,Trois-Rivières,V,G8Y6Z1,Établissement d'enseignement privé,Privé,www.keranna.qc.ca,-72.604841,46.357709
,305500,École Socrates-Démosthène,École Socrates-Démosthène,"5757, avenue Wilderton",,66023,Montréal,V,H3S2K8,Établissement d'enseignement privé,Privé,www.socdem.org,-73.61977,45.509047
,306500,École Rudolf Steiner de Montréal,École Rudolf Steiner de Montréal,"4855, avenue de Kensington",,66023,Montréal,V,H3X3S6,Établissement d'enseignement privé,Privé,www.ersm.org,-73.635613,45.471632
,308500,École St-Georges de Montréal,L'École St-Georges de Montréal inc.,"3100, Le Boulevard",,66023,Montréal,V,H3Y1R9,Établissement d'enseignement privé,Privé,www.stgeorges.qc.ca,-73.596726,45.493735
,311500,École Saint-Joseph (1985),École Saint-Joseph (1985),"4080, avenue De Lorimier",,66023,Montréal,V,H2K3X7,Établissement d'enseignement privé,Privé,www.stjoseph.qc.ca,-73.566583,45.531947
,312500,École Sainte-Anne,École Sainte-Anne,"6855, 13e Avenue",,66023,Montréal,V,H1X2Z3,Établissement d'enseignement privé,Privé,www.ecolesainte-anne.ca,-73.591516,45.558645
,313500,École Sainte-Famille,École Sainte-Famille,"10425, boulevard Guillaume-Couture",,25213,Lévis,V,G6V9R6,Établissement d'enseignement privé,Privé,,-71.089286,46.826617
,314500,Éc. sec. de Bromptonville,École secondaire de Bromptonville,"125, rue du Frère-Théode",,43027,Sherbrooke,V,J1C0S3,Établissement d'enseignement privé,Privé,https://ecolesecondairebromptonville.com/,-71.953104,45.47155
,315500,Éc. sec. du Verbe Divin,École secondaire du verbe divin inc.,"1021, rue Cowie C.P. 786",,47017,Granby,V,J2G8W8,Établissement d'enseignement privé,Privé,verbedivin.com,-72.773203,45.396514
,316500,École secondaire Duval,École secondaire Duval inc.,"260, boulevard Henri-Bourassa Est",,66023,Montréal,V,H3L1B8,Établissement d'enseignement privé,Privé,www.ecoleduval.com,-73.669292,45.552632
,317500,École secondaire privée François-Bourrin,École secondaire privée François-Bourrin,"50, avenue des Cascades",,23027,Québec,V,G1E2J7,Établissement d'enseignement privé,Privé,ecolefrancoisbourrin.ca,-71.196091,46.861634
,321500,Collège Boisbriand 2016,Collège Boisbriand 2016,"4747, rue Ambroise-Lafortune",,73005,Boisbriand,V,J7H0A4,Établissement d'enseignement privé,Privé,www.collegeboisbriand.qc.ca,-73.868006,45.64072
,322500,Collège Letendre,Collège Letendre,"1000, boulevard de l'Avenir",,65005,Laval,V,H7N6J6,Établissement d'enseignement privé,Privé,www.collegeletendre.qc.ca,-73.72202,45.560215
,323500,Éc. sec. Marcellin-Champagnat,École secondaire Marcellin-Champagnat,"14, chemin des Patriotes Est",,56083,Saint-Jean-sur-Richelieu,V,J2X5P9,Établissement d'enseignement privé,Privé,www.esmc.qc.ca,-73.247404,45.317844
,324500,Collège d'Anjou,Collège d'Anjou,"11000, rue Renaude-Lapointe",,66023,Montréal,V,H1J2V7,Établissement d'enseignement privé,Privé,www.collegedanjou.qc.ca,-73.592351,45.611626
,326500,École secondaire Mont-Saint-Sacrement,École secondaire Mont-Saint-Sacrement,"200, boulevard Saint-Sacrement",,22025,Saint-Gabriel-de-Valcartier,M,G0A4S0,Établissement d'enseignement privé,Privé,www.mss.qc.ca,-71.507465,46.978589
,327500,Collège Notre-Dame de Rivière-du-Loup,Collège Notre-Dame de Rivière-du-Loup,"56, rue Saint-Henri",,12072,Rivière-du-Loup,V,G5R2A1,Établissement d'enseignement privé,Privé,www.collegenotredame.ca,-69.536041,47.822242
