
RANG; NOM DE RÈGNE DU PAPE;	DÉBUT DU PONTIFICAT; FIN DU PONTIFICAT; NOM DE NAISSANCE; LIEU DE NAISSANCE
1	Pierre;		            33  67;	                	Bethsaïde en Galilée
192	Célestin V;	            5.VII, 29.VIII.1294	13.XII.1294;	Pietro del Morrone;Molise (Italie)
193	Boniface VIII;          24.XII.1294, 23.I.1295	11.X.1303;	Benedetto Caetani;Anagni (Italie)
194	Benoît XI;	            22,27.X.1303	7.VII.1304;	Niccolò di Boccassio;Trévise (Italie)
195	Clément V;	            5.VI, 14.XI.1305	20.IV.1314;	Bertrand de Got;Villandraut (France)
196	Jean XXII;	            7.VIII,5.IX.1316	4.XII.1334;	Jacques Duèze;Cahors (France)
197	Benoît XII;	            20.XII.1334, 8.I.1335	25.IV.1342;	Jacques Fournier;Saverdun (France)
198	Clément VI;	            7,19.V.1342	6.XII.1352;	Pierre Roger;Maumont (France)
199	Innocent VI;	        18,30.XII.1352	12.IX.1362;	Étienne Aubert;Monts, Limousin (France)
200	Urbain V;	            28.IX,6.XI.1362	19.XII.1370;	Guillaume Grimoard;Grizac, Lozère (France)
201	Grégoire XI;	        30.XII.1370, 3.I.1371	26.III.1378;	Pierre Roger de Beaufort;Rosiers d'Egletons (France)
202	Urbain VI;	            8,18.IV.1378	15.X.1389;	Bartolomeo Prignano;Naples (Italie)
203	Boniface IX;	        2,9.XI.1389	1.X.1404;	Pietro Tomacelli;Naples (Italie)
204	Innocent VII;	        17.X,11.XI.1404	6.XI.1406;	Cosma Migliorati;Sulmona (Italie)
205	Grégoire XII;	        30.XI,19.XII.1406	4.VII.1415;	Angelo Correr;Venise (Italie)
206	Martin V;	            11,21.XI.1417	20.II.1431;	Oddone Colonna;Genazzano (Italie)
207	Eugène IV;	            3,11.III.1431	23.II.1447;	Gabriele Condulmer;Venise (Italie)
208	Nicolas;	            6,19.III.1447	24.III.1455;	Tommaso Parentucelli;Sarzana (Italie)
209	Calixte III;            8,20.IV.1455	6.VIII.1458;	Alonso Borja;Torre del Canals (Espagne)
210	Pie II;	                19.VIII, 3.IX.1458	14.VIII.1464;	Enea Silvio Piccolomini;Corsignano (Italie)
211	Paul II;	            30.VIII, 16.IX.1464	26.VII.1471;	Pietro Barbo;Venise (Italie)
212	Sixte IV;	            1,9,25.VIII.1471	12.VIII.1484;	Francesco della Rovere;Celle Ligure (Italie)
213	Innocent VIII;	        29.VIII, 12.IX.1484	25.VII.1492;	Giovanni Battista Cibo;Gênes (Italie)
214	Alexandre VI;	        11,26.VIII.1492	18.VIII.1503;	Rodrigo de Borja;Játiva (Espagne)
215	Pie III;	            22.IX, 1,8.X.1503	18.X.1503;	Francesco Todeschini Piccolomini;Sienne (italie)
216	Jules II;	            1,26.XI.1503	21.II.1513;	Giuliano della Rovere;Albisola (Italie))
217	Léon X;	                11,19.III.1513	1.XII.1521;	Jean de Médicis;Florence (Italie)
218	Adrien VI;	            9.I,31.VIII.1522	14.IX.1523;	Adrien Florensz;Utrecht
219	Clément VII;	        19,26.XI.1523	25.IX.1534;	Jules de Médicis;Florence (Italie)
220	Paul III;	            13.X, 3.XI.1534	10.XI.1549;	Alexandre Farnese;Canino, Viterbe (Italia)
221	Jules III;	            7,22.II.1550	23.III.1555;	Giovanni Maria Ciocchi del Monte;Rome
222	Marcel II;	            9,10.IV.1555	1.V.1555;	Marcello Cervini;Montefano (Italie)
223	Paul IV;             	23,26.V.1555	18.VIII.1559;	Gian Pietro Carafa;Capriglia Irpina (Italia)
224	Pie IV;	                26.XII.1559, 6.I.1560	9.XII.1565;	Jean-Ange de Médicis;Milan (Italie)
225	Pie V;	                7,17.I.1566	1.V.1572;	Antonio (Michele) Ghisleri;Bosco Marengo (Italie)
226	Grégoire XIII;	        13,25.V.1572	10.IV.1585;	Ugo Boncompagni;Bologne (Italie)
227	Sixte V;             	24.IV, 1.V.1585	27.VIII.1590;	Felice Peretti;Grottammare (Italie)
228	Urbain VII;           	15.IX.1590	27.IX.1590;	Giambattista Castagna;Rome
229	Grégoire XIV;	        5,8.XII.1590	16.X.1591;	Niccolò Sfondrati;Somma Lombardo (Italie)
230	Innocent IX;	        29.X,3.XI.1591	30.XII.1591;	Giovanni Antonio Facchinetti;Bologne (Italie)
231	Clément VIII;	        30.I,9.II.1592	3.III.1605;	Ippolito Aldobrandini;Fano (Italie)
